company,position,link,location,experience,additional_info,date,views,rewiews,description
PLVision,Python Verification Engineer,https://djinni.co/jobs/513080-python-verification-engineer/,Україна,3,"Office або Remote, 3 роки досвіду, Intermediate",12:50 09.01.2024,3,0,"We invite a skilled Firmware Python Verification Engineer with up to 2 years of experience in Quality Assurance and Python programming language to join PLVision. In this role, you will ensure the quality and reliability of our customers' products. You will work closely with hardware engineers to ensure seamless integration between firmware and networking equipment.<br><br>At PLVision, we offer numerous opportunities to secure your career development while working in a thriving Ukrainian company with an in-demand specialization. We work with the latest technologies and contribute to open source, collaborating with professionals from Microsoft, Intel, Cisco, NVIDIA, Meta and more. If you are seeking a long-term project in a future-proof technology domain, apply for this vacancy and become part of our expert team.<br><br>About PLVision  <br><br>We are a software product development company specializing in computer networking and embedded systems. PLVision has offices in Krakow, Poland, and in Ukraine: Lviv, Odesa, Kyiv, and Kharkiv (currently relocated). Founded in 2007, the company helps networking industry leaders and ambitious startups in the U.S., Israel, and the EU countries to launch innovative products.<br><br>Vacancy responsibilities:<br>- Develop networking test cases for new and existing products with an emphasis on emulating customer environments<br>- Perform research and analysis to implement the best solutions<br>- Cooperate with internal teams (e.g., developers and product managers) to identify system requirements<br>- Be a strong advocate for software quality<br><br>Vacancy requirements:<br>· Bachelor's degree in Computer Science or Software/Computer/Communications Engineering<br>· Up to 2 years of experience in Python<br>· Strong understanding of OOAD (Object-Oriented Analysis and Design)<br>· Strong analytical, debugging and problem-solving skills<br>· Good verbal and written communication skills<br>· Knowledge of technical English at the Intermediate level and higher is a must<br><br>Vacancy plus options:<br>- Basic knowledge of network communication protocols<br>- Knowledge of CI (Continuous Integration) methodology and tools (e.g., Gerrit, Jenkins)<br>- Work experience in an Agile/Scrum environment<br>- Experience with Linux at the user level<br>- Experience in software testing and test automation"
Develux,Senior Python Developer_Competency Lead,https://djinni.co/jobs/620241-senior-python-developer_competency-lead/,Україна,5,"Office або Remote, 5 років досвіду, Upper-Intermediate",12:12 09.01.2024,5,0,"<b>What are we doing?</b><br><b>Develux</b> is an IT consulting and software development company with products for the US market and outsourcing services worldwide. The company has been on the market since 2014 and has achieved perfect results in our four business units. We have 350+ goal-oriented, passionate specialists who are open to new challenges.<br><br>We are looking for a highly skilled and experienced <b>Senior Python Developer_Competency Lead</b> to join our dynamic team. <br><br><b>What do you need to do?</b><br>Write clean and well-structured code that is easy to read and maintain.<br>Use version control to manage code changes and collaborate with other developers.<br>Follow security best practices when handling sensitive data or user information.<br>Use automated testing tools to ensure code quality and reduce the risk of bugs.<br>Document your code and write clear and concise comments.<br>Use modular design principles to make your code more flexible and reusable.<br>Stay up-to-date with the latest industry trends and technologies.<br>Use design patterns and best practices to make your application more maintainable and extensible.<br><b>Technologies:</b><br>Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWS<br><br><b>Work experience:</b><br>5+ years of commercial experience with Python 3;<br>1+ years of experience with designing, implementing REST API (DRF, Fast API);<br>Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);<br>Experience working on Linux, Docker;<br>Clear understanding of high-quality code, unit testing, software design and design patterns;<br>Exceptional problem-solving, technical and data analysis skills;<br>Experience with Scrum/Agile methodology, CI/CD.<br>Qualities: Star performer, Team player, Fast, Strong ownership<br>Additional hard skills:<br>Some experience with Elasticsearch;<br>Experience with Kubernetes, Clouds(AWS/GCP)<br><br><b>Questions and Answers:</b><br>- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.<br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br>What social package and benefits are offered?<br>- English courses (up to 80 USD/month after successful completion of the probation period)<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care<br>- Corporate events<br><br><b>Hiring process:</b><br>- Screening call with recruiter and Hiring Manager +5 technical questions (45 minutes)<br>- Technical interview with CTO (1 hour)<br>- Soft skill interview with Head of Outsource<br>- Trial day (paid)<br>- Proposal for cooperation with Develux<br><br>We believe that people with different perspectives and lived experiences drive the company to create unique solutions."
Right Link,Python/Django developer,https://djinni.co/jobs/620157-python-django-developer/,Україна,1,"Тільки віддалено, 1 рік досвіду, Upper-Intermediate",10:36 09.01.2024,157,63,"<b>Tech requirements</b><br>• Python/Django experience <br>• OOP and good knowledge of design patterns<br>• Understanding of RESTful principles and best practices.<br>• strong PostgreSQL knowledge<br>• experience with Git and bug-tracking systems<br><br><b>Django requirements</b><br>• Experience building REST APIs using DRF<br>• Experience with Django migrations<br>• Performance Optimization: Skills in caching strategies, database indexing, and query optimization to handle large datasets efficiently<br>• Experience developing locally using docker-compose<br>• Experience using Celery for background and periodic tasks<br>• Experience with django-filters library<br>• Experience building authentication using JWT & django-allauth<br>• Experience integrating Stripe as a payment gateway<br><br><b>Great to have</b><br>• Javascript frameworks: experience with Vue.js or React<br>• Familiarity with Elasticsearch or similar technologies for implementing efficient search and filter functionalities, as these sites have complex querying needs.<br>• API Documentation: Proficiency in creating clear and comprehensive API documentation, essential for both internal use and potential third-party developers.<br>• Node.js frameworks: experience with Express.js or Nest.js<br><br><b>About project</b><br>We are looking for an engineer who can help us with the development of REST API services and backend applications. We develop CRM, CMS, ERP, and other types of custom services for our customers.<br><br><b>We offer</b><br>• Flexible schedule and opportunities to work remotely (8 hours workday);<br>• Paid vacation and sick leaves;<br>• Plans for growth and the performance review (every 6 months);"
EVO,Middle Python Software Engineer (Prom.ua),https://djinni.co/jobs/620122-middle-python-software-engineer-prom-ua-/,Україна,3,"Product, Office або Remote, 3 роки досвіду",19:48 08.01.2024,128,9,"<b>Prom.ua</b> – найбільший маркетплейс України, де продаються понад 100 млн товарів від десятків тисяч підприємців з усієї країни.<br><br><b>Prom.ua в цифрах:</b><br>щодня маркетплейс відвідують <b>4,8 млн осіб</b><br>на маркетплейсі працюють <b>понад 60 тис. компаній</b><br>у каталозі <b>102,5 млн товарів</b><br><br>Пропонуємо роль Python Backend розробника в команду, яка займається:<br>-Інтеграціями з логістами (зокрема зробили можливість відправки посилок продавців Prom в точки видачі Rozetka)<br>-Інтеграціями з платіжними сервісами (підтримуємо бекенд частину Пром-оплати)<br>-Всім, що стосується обробки замовлення продавцем<br>-Налаштуванням способів доставки і оплати продавцем<br>-Розробкою Public API та Private API <br>-Підтримкою функціоналу для продавців<br><br><b>Використовуємо в команді такі технології:</b><br>Мови програмування: Python 3.11<br>Сервіси: PostgreSQL, Redis, ElasticSearch<br>Інфраструктура: Self-hosted Kubernetes, Helm, Prometheus.<br><br><b>І ще трохи деталей:</b><br>-портал prom.ua працює в Kubernetes як сукупність незалежних сервісів. Налагодженні системи логування (kibana), моніторингу (prometheus/grafana), CI/CD (gitlab);<br>-більша частина сервісів написана на Python 3.11 (синхронний та асинхронний);<br>-міжсервісна комунікація налагоджена через gRPC, REST;<br>У якості бази даних використовується PostgreSQL;<br><br><b>Команда:</b><br>4 BackEnd Dev, 1 FrontEnd Dev, 3 Manual Qa, 1 Automation QA, 1 Product designer, 1 Marketing Specialist, 1 Business analyst, 1 Product Manager <br><br><b>Що важливо для даної позиції:</b><br>-знати Python, не бути заточеним під конкретний фреймворк;<br>-мати досвід web розробки, розуміти що таке мікросервісна архітектура і досвід її застосування;<br>-впевнено працювати з базами даних PostgreSQL (або аналогами): транзакції, індекси, оптимізація складних запитів — не повинні складати труднощів;<br> -мати досвід асинхронного програмування на Python, мати уявлення, що таке NoSQL бази даних і пошукові движки (ElasticSearch);<br>-досвід роботи з Docker/Kubernetes (або аналогами) з продакт інженерним підходом до вирішення завдань;<br><br>Як плюс: досвід з aiohttp досвід роботи в e-commerce відсутність страху перед Front-end’ом, node.js, React.js, але верстки не буде 🙂<br><br><b>Етапи інтерв’ю:</b><br>знайомство (до 30 хв);<br>технічне інтерв’ю (тривалість 1,5 години). Обговоримо всі важливі питання по стеку, досвіду, завданням;<br>фінальне інтерв’ю з Продактом.<br><br><b>Ми пропонуємо:</b><br>-офіційне працевлаштування у штат компанії;<br>-24 календарних дні оплачуваної відпустки на рік, необмежена кількість лікарняних;<br>-віддалена робота. Можливість відвідувати офіс у м.Київ;<br>-медичне страхування;<br>-послуги корпоративного психолога;"
StrimkoSoft,Back-End Python (Django) Developer,https://djinni.co/jobs/620117-back-end-python-django-developer/,Україна,5,"Тільки віддалено, 5 років досвіду, Upper-Intermediate",19:24 08.01.2024,87,33,"We are seeking an experienced Python Developer to join our development team and contribute to the enhancement of our backend systems.<br><br>What you have:<br>- <b>Strong experience with modern backend technologies, including Django, Python, and Postgres including at least 4 years of hands-on development;</b><br>- Experience with Postgres;<br>- Hands on experiences with container technology (Docker, ECR, ECS);<br>- Experience with CI/CD platforms and tools;<br>- Upper-Intermediate level of English.<br><br>Your key responsibilities: Collaborate closely with team including front-end engineers, project managers, and designers to define and implement decisions that meet business requirements. Stay up-to-date with industry trends and emerging technologies, and apply best practices to continuously improve backend development processes. You’ll build highly available services and APIs that scale and work efficiently even under the highest load.<br><br>What we have:<br>- Long-term employment with a competitive salary.<br>- Availability of continuous training: conferences, meetups, courses for professional development.<br>- Regular salary reviews;<br>- Unlimited access to internal learning resources;<br>- Constant feedback, support and assistance from other experienced employees;<br>- Vacation 18 paid days, and sick leave (10 paid days)."
Develux,Senior Python Backend Engineer,https://djinni.co/jobs/614004-senior-python-backend-engineer/,Україна,5,"Product, Office або Remote, 5 років досвіду, Intermediate",18:09 08.01.2024,25,3,"<b>How old is the project? What stage is it at?</b><br>We are in the ed-tech space helping hundreds of thousands of students deal with academic hurdles and questions. We have been around since 2014, overgrowing every year. Furthermore, we are currently working on expanding the functionality of our product, all while focusing on improving customer experience and increasing our financial metrics.<br>Our company is a B2B2C educational platform that provides academic paper writing services. Our clients can choose the type of work, set requirements and deadlines, and choose the author. In addition, online chat allows customers and authors to communicate with each other to clarify.<br>We also provide services for checking papers for plagiarism, editing and correcting text, and training and advice on improving research paper writing skills. Our team of writers consists of only the best experts, who are rigorously screened and constantly improve their skills.<br>Our platform also provides the opportunity to receive feedback from authors and ask for technical support and help in choosing the best work.<br>We constantly improve our platform and services to provide our customers with the highest convenience and quality.<br>Our support team is always available to help customers with any questions regarding our platform. We strive to ensure that our clients have only a positive experience with us and recommend us to their friends and colleagues.<br><br><b>What do you need to do?</b><br>Write clean and well-structured code that is easy to read and maintain.<br>Use version control to manage code changes and collaborate with other developers.<br>Follow security best practices when handling sensitive data or user information.<br>Use automated testing tools to ensure code quality and reduce the risk of bugs.<br>Document your code and write clear and concise comments.<br>Use modular design principles to make your code more flexible and reusable.<br>Stay up-to-date with the latest industry trends and technologies.<br>Use design patterns and best practices to make your application more maintainable and extensible.<br><br><b>Technologies:</b><br>Python 3.x, DRF, Django Channels, Redis, PostgreSQL, Elasticsearch, AWS<br><br>Work experience:<br>5+ years of commercial experience with Python 3;<br>1+ years of experience with designing, implementing REST API (DRF, Fast API);<br>Experience working with relational and NoSQL databases(PostgreSQL, MongoDB);<br>Experience working on Linux, Docker;<br>Clear understanding of high-quality code, unit testing, software design and design patterns;<br>Exceptional problem-solving, technical and data analysis skills;<br>Experience with Scrum/Agile methodology, CI/CD.<br>Qualities: Star performer, Team player, Fast, Strong ownership<br>Additional hard skills:<br>Some experience with Elasticsearch;<br>Experience with Kubernetes, Clouds(AWS/GCP)<br>Questions and Answers:<br>- Does the job come with a probation period, and if so, how long does it last?Yes, there is a three-month probation period.<br>- What is the expected work schedule?<br>Full-time, flexible, please start no later than 11:00 (on average 8 hours per day). The office in Kyiv is open from 9:00 to 20:00. You can work remotely and also you can choose hybrid mode where you can combine working on-site and remotely.<br>- How many vacation and sick days are provided?<br>Annual paid vacation – 21 working days; Paid confirmed sick leave; 6 unconfirmed sick days/days off a year.<br><br><b>What social package and benefits are offered?</b><br>- English courses (up to 80 USD/month after successful completion of the probation period)<br>- Compensation for the cost of a subscription sports center (up to 80 USD/month after successful completion of the probation period)<br>- Medical insurance (50% after successful completion of the probation period) or $200 a year for health care<br>- Corporate events<br><br><b>Hiring process:</b><br>- HR-call with Recruiter<br>- Interview with the Hiring manager (1 hour)<br>- Trial day<br>- Proposal for cooperation with Develux<br><br>We believe that people with different perspectives and lived experiences drive the company to create unique solutions."
Stylus,Senior Python Engineer,https://djinni.co/jobs/611100-senior-python-engineer/,Україна,5,"Product, Office або Remote, 5 років досвіду, Upper-Intermediate",16:58 08.01.2024,33,2,"<b>Stylus</b> — українська продуктова компанія, яка розробляє однойменний інтернет-магазин з широким асортиментом цифрової техніки, побутового обладнання, книг тощо. Є одним із найбільших e-commerce проєктів країни з оффлайн-магазинами, точками видачі та сервісними центрами у 16 містах. Компанія існує на ринку онлайн-продажів з 2008 року.<br><br><b>Задачі</b><br><br>— Переписуємо з нуля існуючий легасі проект на сучасний стек технологій.<br>— Інтегруємося з сервісами телефонії, системами ведення товарообігу, банківськими системами.<br>— На цій базі робимо підтримку multi-storing (мати змогу легко запускати нові магазини під іншими брендами).<br><br><br>Взаємодія з легасі кодом передбачається тільки на рівні читача. Це потрібно, щоб концептуально плюс-мінус розуміти який підхід був задіяний і які операції над даними відбуваються. Це дає багато інсайтів, щоб зробити найліпше рішення у проекті, який пишеться з нуля.<br><br><b>Стек технологій</b><br><br>— Back-end: Python, Django, FastAPI, GraphQL, PostgreSQL, Redis, Celery, pytest.<br>— Front-end: React, Typescript, Apollo, Redux.<br>— Infrastructure: Docker, Kubernetes, AWS, Terraform, ArgoCD, GitHub Actions.<br><br>На даному етапі пишемо моноліт на Django з GraphQL, щоб розблокувати бізнес, паралельно розбиваємо його на мікросервіси на FastAPI<br><br><b>Культура</b><br><br>— Немає мікроменеджменту та тайм-трекерів, довіра в команді перш за все.<br>— Кожен в команді має можливість приймати ключові продуктові на технічні рішення.<br>— Маємо стиль кодування, налаштовані лінтери та прагнемо покривати всю кодову базу тестами.<br>— Заохочуємо розробників працювати над інфраструктурою і розбиратися як працюють DevOps-процеси.<br><br><b>Вимоги</b><br><br>Обовʼязково:<br><br>— Досвід програмуванням на Python.<br>— Знання реляційних баз даних (індекси, нормалізація, Joins, raw SQL, profiling).<br>— Знання структурних, архітектурних та дизайн паттернів, best practices тощо.<br>— Високий рівень автономності, проактивність, ownership, strong verbal and writing skills.<br><br>Буде перевагою, але не обовʼязково:<br><br>— Комерційний досвід в e-commerce.<br>— Практичний досвід з GraphQL.<br>— Досвід з DevOps-інструментами та практиками.<br><br><b>Умови:</b><br><br>— 5-денний робочий тиждень з нефіксованим 8-годинним робочим днем.<br>— 24 календарні дні оплачуваної відпустки на рік та компенсація лікарняних днів.<br>— Компенсація за проходження курсів, участь у професійних конференціях тощо.<br>— Техніка для роботи за запитом, включно з Apple MacBook на M1.<br><br><b>Етапи після відгуку</b><br><br>1. Прескрін з рекрутером, щоб окреслити важливі питання для обох сторін (15 хвилин).<br>2. Технічна співбесіда з командою (1 година):<br>2.1. Питання про досвід.<br>2.2. Питання та задача по реляційних базах даних.<br>2.3. Алгоритмічна задача рівня LeetCode easy/medium.<br>3. Співбесіда з технічним директором (30 хвилин):<br>3.1. Знайомство.<br>3.2. Культурний match."
Softwarium,Data and Machine Learning Engineer (Python),https://djinni.co/jobs/620015-data-and-machine-learning-engineer-python-/,Україна,5,"Тільки віддалено, 5 років досвіду, Intermediate",15:12 08.01.2024,25,5,"We are, Softwarium — Ukrainian outsourcing IT-company. We have been developing software for American, Canadian, and Norwegian clients in the education, healthcare, energy, and security industries for over 20 years.<br><br>Currently we’re looking for an experienced Data & Machine Learning Engineer (Python) to help deliver the project in Data Science area for our US customer.<br><br>Our client is a rapidly growing technology company specializing in cutting-edge data solutions and machine learning applications. We are seeking an experienced Python Engineer with a strong background in working with data and preferably machine learning experience to join our innovative team of 4 developers and 2 QAs.<br><br>The product is designed for Enterprise systems that connects with Salesforce CRM system, allowing it to improve its performance by collecting and analyzing large amounts of data. Product based on AI and ML that optimizes work with the Salesforce database, analyzes data, finds duplicates, and cleans up out-of-date data.<br><br>Key clients: Healthcare; Financial Services; Non-profit; Software & Technology.<br><br>Main stack: Python, ML, AWS, Docker.<br><br><b>Responsibilities:</b><br>— Develop, optimize, and maintain scalable data pipelines, ETL processes, and data integrations using Python.<br>— Collaborate with the team to implement ML models and algorithms in production.<br>— Contribute to designing, developing, and enhancing machine learning systems and infrastructure.<br>— Perform data preprocessing, data validation, and data cleansing.<br>— Collaborate with cross-functional teams to understand data requirements and develop data solutions.<br>— Maintain documentation for developed features, including system architecture, API specifications, and development progress.<br>— Troubleshoot and resolve data-related issues, ensuring data quality and consistency.<br>— Stay updated with the latest trends and advancements in Python, data engineering, and machine learning.<br><br><b>Requirements:</b><br>— 5+ years of hands-on experience in Python development;<br>— Strong experience in working with large datasets and data processing tools (e.g., Pandas, NumPy, Dask);<br>— Familiarity with database technologies (SQL/NoSQL), data warehousing solutions, and data modeling;<br>— Experience with machine learning frameworks and libraries (e.g., TensorFlow, PyTorch, scikit-learn);<br>— Knowledge of distributed computing systems (e.g., Hadoop, Spark) is a plus;<br>— Excellent problem-solving skills, attention to detail, and ability to work independently as well as collaboratively within a team;<br>— Strong communication skills to effectively collaborate with team members and stakeholders.<br><br><b>Preferred Qualifications:</b><br>— Experience with cloud platforms (AWS);<br>— Knowledge of containerization technologies (Docker);<br>— Familiarity with version control systems (Git);<br>— Experience with LLM models and APIs;<br>— Exposure to ML deployment and monitoring tools (e.g., MLflow, TFX, Kubeflow).<br><br><b>What we offer:</b><br>✍️ B2B Contract;<br>🏠 Possibility to work remotely or in an office in the center of Kyiv;<br>⚖️ Work & life balance is our credo. No overtime;<br>🚀 Learning & Development program: a team of senior developers, individual budget for professional development (trainings and events, certification);<br>💶 Paid Vacation and sick days, etc.<br><br>To apply for this position, please submit your resume and any sample projects or GitHub profile showcasing your work, if possible."
Adaptiq,Python Engineer with AI (Computer Vision),https://djinni.co/jobs/605048-python-engineer-with-ai-computer-vision-/,"Польща,    Румунія",5,"Product, Тільки віддалено, 5 років досвіду, Upper-Intermediate",13:14 08.01.2024,6,2,"We are a pioneer in the field of Enhanced Sensory AI, and we are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.<br><br>Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.<br><br>We proudly serve a diverse clients portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.<br><br>We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.<br><br>Responsibilities:<br>- Serve as a technical domain expert on backend development.<br>- Establish design principles with the broader development team.<br>- Hands-on web development of production-ready applications at scale.<br>- Design and implement efficient and well-engineered solutions.<br>- Work closely with data science, product, QA and infrastructure teams.<br><br>Skills:<br>- Back-end: Python, Django with celery;<br>- AWS experience;<br>- Data: Basic SQL and NoSQ-mongodbL, AWS S3.<br><br>Experience:<br>- 5+ years in Python development - must;<br>- extensive experience in Computer Vision - must;<br>- experience with Django with celery and AWS - big advantage.<br><br>Education:<br>- Bachelor’s or Master's in Computer Science, Software Engineering or a related field"
Yael Acceptic,Python Developer,https://djinni.co/jobs/619939-python-developer/,Україна,3,"Office або Remote, 3 роки досвіду, Upper-Intermediate",12:52 08.01.2024,69,19,"Join our team as an experienced Python Developer, where you will take a role in building and optimizing our AWS cloud infrastructure. This position requires hands-on experience with AWS services, proficiency in Python, and a strong background in deploying and managing infrastructure using Terraform.<br><br><b>Responsibilities:</b><br>- Identify and plan improvements to the implementation;<br>- Be a key team member in design and development;<br>- Maintaining infrastructures and environments of all types from dev to production;<br>- Security monitoring and administration.<br><br><b>Requirements:</b><br>- 2+ years of experience in Python;<br>- 2+ years hands on experiences with AWS cloud services (VPC, API Gateway, EC2, ALB, NLB, Lambda, RDS, IAM);<br>- Working experience with DB technologies (SQL, non-SQL);<br>- Experience deploying and managing infrastructure with terraform;<br>- Hands on experiences with container technology (Docker, ECR, ECS);<br>- Experience with CI/CD platforms and tools;<br>- Experience with design and develop API (YAML, Swagger, FastAPI etc);<br>- At least an Upper-Intermediate level of English."
